LAST SEEN   TYPE      REASON                 OBJECT                           MESSAGE
58m         Normal    SuccessfulCreate       job/parsec-radix                 Created pod: parsec-radix-7tcrj
58m         Normal    Scheduled              pod/parsec-radix-7tcrj           Successfully assigned default/parsec-radix-7tcrj to node-b-4core-rkqx
58m         Normal    Started                pod/parsec-radix-7tcrj           Started container parsec-radix
58m         Normal    Created                pod/parsec-radix-7tcrj           Created container parsec-radix
58m         Normal    Pulled                 pod/parsec-radix-7tcrj           Successfully pulled image "anakli/cca:splash2x_radix" in 691ms (691ms including waiting). Image size: 34384214 bytes.
58m         Normal    Pulling                pod/parsec-radix-7tcrj           Pulling image "anakli/cca:splash2x_radix"
58m         Warning   SystemOOM              node/node-b-4core-rkqx           System OOM encountered, victim process: radix, pid: 13019
57m         Normal    Killing                pod/some-memcached               Stopping container memcached
56m         Normal    DeletingLoadBalancer   service/some-memcached-11211     Deleting load balancer
56m         Normal    DeletedLoadBalancer    service/some-memcached-11211     Deleted load balancer
55m         Normal    Scheduled              pod/some-memcached               Successfully assigned default/some-memcached to node-b-4core-rkqx
55m         Normal    Started                pod/some-memcached               Started container memcached
55m         Normal    Pulled                 pod/some-memcached               Container image "memcached:1.6.38" already present on machine
55m         Normal    Created                pod/some-memcached               Created container memcached
55m         Normal    EnsuringLoadBalancer   service/some-memcached-11211     Ensuring load balancer
54m         Normal    EnsuredLoadBalancer    service/some-memcached-11211     Ensured load balancer
52m         Normal    SuccessfulCreate       job/parsec-freqmine              Created pod: parsec-freqmine-dnpjx
52m         Normal    SuccessfulCreate       job/parsec-blackscholes          Created pod: parsec-blackscholes-jc67w
52m         Normal    Scheduled              pod/parsec-freqmine-dnpjx        Successfully assigned default/parsec-freqmine-dnpjx to node-a-8core-t4w3
52m         Normal    Scheduled              pod/parsec-blackscholes-jc67w    Successfully assigned default/parsec-blackscholes-jc67w to node-b-4core-rkqx
52m         Normal    Created                pod/parsec-freqmine-dnpjx        Created container parsec-freqmine
52m         Normal    Pulling                pod/parsec-blackscholes-jc67w    Pulling image "anakli/cca:parsec_blackscholes"
52m         Normal    Pulling                pod/parsec-freqmine-dnpjx        Pulling image "anakli/cca:parsec_freqmine"
52m         Normal    Pulled                 pod/parsec-freqmine-dnpjx        Successfully pulled image "anakli/cca:parsec_freqmine" in 599ms (599ms including waiting). Image size: 159516230 bytes.
52m         Normal    Started                pod/parsec-freqmine-dnpjx        Started container parsec-freqmine
52m         Normal    SuccessfulCreate       job/parsec-streamcluster         Created pod: parsec-streamcluster-4qxd8
52m         Normal    Pulling                pod/parsec-streamcluster-4qxd8   Pulling image "anakli/cca:parsec_streamcluster"
52m         Normal    Scheduled              pod/parsec-streamcluster-4qxd8   Successfully assigned default/parsec-streamcluster-4qxd8 to node-a-8core-t4w3
52m         Normal    Started                pod/parsec-streamcluster-4qxd8   Started container parsec-streamcluster
52m         Normal    Pulled                 pod/parsec-streamcluster-4qxd8   Successfully pulled image "anakli/cca:parsec_streamcluster" in 541ms (541ms including waiting). Image size: 34585790 bytes.
52m         Normal    Created                pod/parsec-streamcluster-4qxd8   Created container parsec-streamcluster
52m         Normal    Pulled                 pod/parsec-blackscholes-jc67w    Successfully pulled image "anakli/cca:parsec_blackscholes" in 6.76s (6.76s including waiting). Image size: 153652038 bytes.
52m         Normal    Created                pod/parsec-blackscholes-jc67w    Created container parsec-blackscholes
52m         Normal    Started                pod/parsec-blackscholes-jc67w    Started container parsec-blackscholes
51m         Normal    Completed              job/parsec-blackscholes          Job completed
50m         Normal    Completed              job/parsec-freqmine              Job completed
50m         Normal    Scheduled              pod/parsec-canneal-8cs6j         Successfully assigned default/parsec-canneal-8cs6j to node-a-8core-t4w3
