#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      229.4    87.8   101.3   150.6   162.5   220.2   246.5   261.3   271.5   284.4   299.7   326.8   413.0   810.4  3772.6  29912.9    30000  1778379946300  1778379956466
read      233.8    89.9    93.8   153.0   165.0   223.8   251.3   266.7   277.2   290.5   307.5   335.3   423.8   875.0  3680.6  29920.2    30005  1778379957979  1778379968112
read      231.5    79.2    93.8   151.3   163.7   223.9   250.8   265.5   275.1   287.9   303.2   328.0   401.4   693.6  2912.0  30092.6    30010  1778379969624  1778379979726
read      227.8    86.7    93.8   151.0   162.8   219.7   245.4   259.8   269.8   281.9   296.3   320.5   388.8   706.8  3871.9  29972.3    30015  1778379981240  1778379991346
read      229.4    86.3    93.8   148.0   159.9   221.5   248.9   264.1   274.2   287.5   303.4   329.1   398.9   714.4  3867.3  30064.5    30020  1778379992859  1778380002960
read      228.7    75.1    93.8   151.9   163.7   221.3   247.0   261.3   271.1   283.3   297.3   321.0   392.4   663.5  3024.2  29948.0    30025  1778380004473  1778380014578
read      226.4    90.9    93.8   148.2   159.6   217.6   243.9   258.8   269.4   281.9   296.9   322.0   398.6   771.3  3899.7  30120.1    30030  1778380016090  1778380026189
read      230.7    94.0    93.8   150.5   162.5   221.5   248.6   263.9   274.2   287.7   304.0   330.3   404.2   877.8  4163.0  30035.7    30035  1778380027703  1778380037808
read      226.6    90.8    93.8   147.2   158.7   217.8   245.3   260.6   271.3   284.3   299.7   325.0   390.1   651.2  4071.0  30012.2    30040  1778380039324  1778380049425
read      228.2    93.8    93.8   149.7   161.5   219.7   246.0   260.8   270.9   283.3   297.5   323.2   400.4   759.6  3492.8  29978.2    30045  1778380050937  1778380061039
read      234.2    87.6    93.8   154.3   166.3   225.1   252.0   267.5   278.2   291.5   308.5   335.3   410.8   684.2  3104.4  29936.8    30050  1778380062551  1778380072656
read      231.1    91.2    93.8   151.7   163.9   222.1   248.2   263.3   273.5   287.0   303.2   329.0   399.5   796.8  3767.2  30080.8    30055  1778380074170  1778380084273
read      231.8    92.1    93.8   151.1   163.4   223.9   250.6   265.4   275.1   288.2   303.8   328.9   401.3   721.3  3402.9  30093.9    30060  1778380085786  1778380095892
read      232.5    78.9    93.8   153.6   165.6   224.9   251.0   265.7   275.3   288.4   303.9   328.4   394.7   742.6  2724.5  30041.2    30065  1778380097406  1778380107507
read      233.0    87.4   101.3   152.5   164.4   224.5   251.2   266.1   276.0   289.1   305.3   331.7   410.2   853.2  3982.2  30074.1    30070  1778380109020  1778380119120
read      229.0    91.7    93.8   151.8   163.2   219.3   244.6   259.0   269.5   282.1   297.2   324.7   423.9   840.1  4106.3  30147.7    30075  1778380120636  1778380130745
read      229.9    85.5    93.8   153.4   164.8   221.4   247.2   261.7   271.6   284.0   298.2   322.3   401.5   742.4  3828.6  30056.2    30080  1778380132266  1778380142379
read      232.0    83.9   101.3   156.7   168.2   224.1   248.5   262.3   271.6   283.4   297.0   320.6   398.4   925.0  3202.0  30015.9    30085  1778380143894  1778380153997
read      237.5   136.2   101.3   154.9   166.4   225.0   251.4   266.5   276.7   290.1   307.3   336.7   467.8  1233.6  6012.8  29986.6    30090  1778380155511  1778380165623
read      233.7    93.4   101.3   156.4   167.9   224.7   250.0   264.4   273.9   287.0   302.5   328.1   409.4   840.8  4246.4  30119.3    30095  1778380167141  1778380177251
read      237.8    82.6   101.3   159.6   171.7   229.2   254.6   269.0   279.1   291.3   307.4   333.4   416.1   992.3  2992.1  30024.3    30100  1778380178765  1778380188872
read      235.2    88.6    93.8   156.7   168.5   226.3   252.3   266.8   276.5   289.4   305.2   330.8   407.4  1016.0  3702.9  30201.4    30105  1778380190386  1778380200491
read      230.9    90.7    93.8   149.9   162.5   223.4   249.7   264.1   273.6   286.2   300.8   325.4   399.5   787.1  4018.9  30097.2    30110  1778380202004  1778380212107
read      224.9    83.5    93.8   151.1   162.6   217.6   242.2   255.8   265.9   276.1   291.1   314.0   376.9   594.8  3771.3  29974.8    30115  1778380213622  1778380223724
read      227.0    83.8    93.8   153.0   164.5   219.2   244.1   258.0   268.0   279.1   293.4   316.2   379.5   620.6  3720.4  30177.6    30120  1778380225239  1778380235344
read      224.8    77.0    93.8   152.1   163.3   217.2   241.9   255.5   265.6   276.0   291.1   313.9   375.9   595.8  3194.4  30053.4    30125  1778380236857  1778380246960
read      226.2    91.4    86.8   150.6   162.5   218.5   242.7   256.4   266.7   277.8   293.0   316.9   385.4   637.9  3952.0  30189.6    30130  1778380248472  1778380258579
read      228.2    96.8    86.8   151.4   163.2   220.0   245.5   259.7   269.5   281.0   295.0   318.4   389.6   899.2  3913.7  30093.7    30135  1778380260093  1778380270195
read      231.2    88.8   101.3   155.9   167.5   223.0   248.4   262.7   272.4   284.6   298.2   320.6   388.1   676.9  3864.1  30127.2    30140  1778380271707  1778380281813
read      226.4    72.1    93.8   153.2   164.8   219.1   243.4   257.3   267.5   278.7   293.3   315.9   372.3   564.3  2907.6  30152.7    30145  1778380283328  1778380293432
read      225.9    91.6    93.8   151.1   163.0   218.6   243.0   256.6   266.6   277.3   292.0   314.9   373.9   632.4  4090.9  30171.6    30150  1778380294944  1778380305046
