LAST SEEN   TYPE     REASON                 OBJECT                           MESSAGE
60m         Normal   Completed              job/parsec-barnes                Job completed
60m         Normal   Scheduled              pod/parsec-radix-czr78           Successfully assigned default/parsec-radix-czr78 to node-a-8core-t4w3
60m         Normal   SuccessfulCreate       job/parsec-radix                 Created pod: parsec-radix-czr78
60m         Normal   Pulling                pod/parsec-radix-czr78           Pulling image "anakli/cca:splash2x_radix"
60m         Normal   Started                pod/parsec-radix-czr78           Started container parsec-radix
60m         Normal   Pulled                 pod/parsec-radix-czr78           Successfully pulled image "anakli/cca:splash2x_radix" in 1.618s (1.618s including waiting). Image size: 34384214 bytes.
60m         Normal   Created                pod/parsec-radix-czr78           Created container parsec-radix
59m         Normal   Scheduled              pod/parsec-vips-rsclc            Successfully assigned default/parsec-vips-rsclc to node-a-8core-t4w3
59m         Normal   Pulling                pod/parsec-vips-rsclc            Pulling image "anakli/cca:parsec_vips"
59m         Normal   SuccessfulCreate       job/parsec-vips                  Created pod: parsec-vips-rsclc
59m         Normal   Completed              job/parsec-radix                 Job completed
59m         Normal   Pulled                 pod/parsec-vips-rsclc            Successfully pulled image "anakli/cca:parsec_vips" in 26.934s (26.934s including waiting). Image size: 909672474 bytes.
59m         Normal   Started                pod/parsec-vips-rsclc            Started container parsec-vips
59m         Normal   Created                pod/parsec-vips-rsclc            Created container parsec-vips
58m         Normal   Completed              job/parsec-vips                  Job completed
58m         Normal   Completed              job/parsec-canneal               Job completed
34m         Normal   Killing                pod/some-memcached               Stopping container memcached
33m         Normal   DeletingLoadBalancer   service/some-memcached-11211     Deleting load balancer
33m         Normal   DeletedLoadBalancer    service/some-memcached-11211     Deleted load balancer
33m         Normal   Scheduled              pod/some-memcached               Successfully assigned default/some-memcached to node-b-4core-rkqx
33m         Normal   Started                pod/some-memcached               Started container memcached
33m         Normal   Created                pod/some-memcached               Created container memcached
33m         Normal   Pulled                 pod/some-memcached               Container image "memcached:1.6.38" already present on machine
33m         Normal   EnsuringLoadBalancer   service/some-memcached-11211     Ensuring load balancer
32m         Normal   EnsuredLoadBalancer    service/some-memcached-11211     Ensured load balancer
31m         Normal   Scheduled              pod/parsec-freqmine-9mrwr        Successfully assigned default/parsec-freqmine-9mrwr to node-a-8core-t4w3
31m         Normal   SuccessfulCreate       job/parsec-freqmine              Created pod: parsec-freqmine-9mrwr
31m         Normal   Scheduled              pod/parsec-blackscholes-pc5kc    Successfully assigned default/parsec-blackscholes-pc5kc to node-b-4core-rkqx
31m         Normal   Pulling                pod/parsec-blackscholes-pc5kc    Pulling image "anakli/cca:parsec_blackscholes"
31m         Normal   SuccessfulCreate       job/parsec-blackscholes          Created pod: parsec-blackscholes-pc5kc
31m         Normal   Pulling                pod/parsec-freqmine-9mrwr        Pulling image "anakli/cca:parsec_freqmine"
31m         Normal   Pulled                 pod/parsec-blackscholes-pc5kc    Successfully pulled image "anakli/cca:parsec_blackscholes" in 568ms (568ms including waiting). Image size: 153652038 bytes.
31m         Normal   Created                pod/parsec-blackscholes-pc5kc    Created container parsec-blackscholes
31m         Normal   Started                pod/parsec-blackscholes-pc5kc    Started container parsec-blackscholes
31m         Normal   Started                pod/parsec-freqmine-9mrwr        Started container parsec-freqmine
31m         Normal   Created                pod/parsec-freqmine-9mrwr        Created container parsec-freqmine
31m         Normal   Pulled                 pod/parsec-freqmine-9mrwr        Successfully pulled image "anakli/cca:parsec_freqmine" in 581ms (581ms including waiting). Image size: 159516230 bytes.
31m         Normal   SuccessfulCreate       job/parsec-barnes                Created pod: parsec-barnes-4h4vl
31m         Normal   Pulling                pod/parsec-barnes-4h4vl          Pulling image "anakli/cca:splash2x_barnes"
31m         Normal   Scheduled              pod/parsec-barnes-4h4vl          Successfully assigned default/parsec-barnes-4h4vl to node-a-8core-t4w3
31m         Normal   Pulled                 pod/parsec-barnes-4h4vl          Successfully pulled image "anakli/cca:splash2x_barnes" in 543ms (543ms including waiting). Image size: 34527819 bytes.
31m         Normal   Created                pod/parsec-barnes-4h4vl          Created container parsec-barnes
31m         Normal   Started                pod/parsec-barnes-4h4vl          Started container parsec-barnes
30m         Normal   Completed              job/parsec-barnes                Job completed
30m         Normal   SuccessfulCreate       job/parsec-radix                 Created pod: parsec-radix-sgtbg
30m         Normal   Scheduled              pod/parsec-radix-sgtbg           Successfully assigned default/parsec-radix-sgtbg to node-a-8core-t4w3
30m         Normal   Started                pod/parsec-radix-sgtbg           Started container parsec-radix
30m         Normal   Created                pod/parsec-radix-sgtbg           Created container parsec-radix
30m         Normal   Pulled                 pod/parsec-radix-sgtbg           Successfully pulled image "anakli/cca:splash2x_radix" in 571ms (571ms including waiting). Image size: 34384214 bytes.
30m         Normal   Pulling                pod/parsec-radix-sgtbg           Pulling image "anakli/cca:splash2x_radix"
30m         Normal   Completed              job/parsec-radix                 Job completed
30m         Normal   Scheduled              pod/parsec-vips-vjvdh            Successfully assigned default/parsec-vips-vjvdh to node-a-8core-t4w3
30m         Normal   SuccessfulCreate       job/parsec-vips                  Created pod: parsec-vips-vjvdh
30m         Normal   Started                pod/parsec-vips-vjvdh            Started container parsec-vips
30m         Normal   Created                pod/parsec-vips-vjvdh            Created container parsec-vips
30m         Normal   Pulled                 pod/parsec-vips-vjvdh            Successfully pulled image "anakli/cca:parsec_vips" in 568ms (568ms including waiting). Image size: 909672474 bytes.
30m         Normal   Pulling                pod/parsec-vips-vjvdh            Pulling image "anakli/cca:parsec_vips"
29m         Normal   Completed              job/parsec-blackscholes          Job completed
29m         Normal   Pulling                pod/parsec-canneal-2pd6t         Pulling image "anakli/cca:parsec_canneal"
29m         Normal   SuccessfulCreate       job/parsec-canneal               Created pod: parsec-canneal-2pd6t
29m         Normal   Scheduled              pod/parsec-canneal-2pd6t         Successfully assigned default/parsec-canneal-2pd6t to node-b-4core-rkqx
29m         Normal   Started                pod/parsec-canneal-2pd6t         Started container parsec-canneal
29m         Normal   Pulled                 pod/parsec-canneal-2pd6t         Successfully pulled image "anakli/cca:parsec_canneal" in 3.328s (3.328s including waiting). Image size: 99173306 bytes.
29m         Normal   Created                pod/parsec-canneal-2pd6t         Created container parsec-canneal
29m         Normal   Completed              job/parsec-vips                  Job completed
29m         Normal   Completed              job/parsec-freqmine              Job completed
25m         Normal   Scheduled              pod/parsec-streamcluster-7q8ct   Successfully assigned default/parsec-streamcluster-7q8ct to node-b-4core-rkqx
25m         Normal   SuccessfulCreate       job/parsec-streamcluster         Created pod: parsec-streamcluster-7q8ct
25m         Normal   Completed              job/parsec-canneal               Job completed
25m         Normal   Pulling                pod/parsec-streamcluster-7q8ct   Pulling image "anakli/cca:parsec_streamcluster"
25m         Normal   Pulled                 pod/parsec-streamcluster-7q8ct   Successfully pulled image "anakli/cca:parsec_streamcluster" in 1.561s (1.561s including waiting). Image size: 34585790 bytes.
25m         Normal   Created                pod/parsec-streamcluster-7q8ct   Created container parsec-streamcluster
25m         Normal   Started                pod/parsec-streamcluster-7q8ct   Started container parsec-streamcluster
22m         Normal   Killing                pod/parsec-streamcluster-7q8ct   Stopping container parsec-streamcluster
22m         Normal   Killing                pod/some-memcached               Stopping container memcached
22m         Normal   DeletingLoadBalancer   service/some-memcached-11211     Deleting load balancer
21m         Normal   DeletedLoadBalancer    service/some-memcached-11211     Deleted load balancer
15m         Normal   Scheduled              pod/some-memcached               Successfully assigned default/some-memcached to node-b-4core-rkqx
15m         Normal   Pulled                 pod/some-memcached               Container image "memcached:1.6.38" already present on machine
15m         Normal   Created                pod/some-memcached               Created container memcached
15m         Normal   Started                pod/some-memcached               Started container memcached
15m         Normal   EnsuringLoadBalancer   service/some-memcached-11211     Ensuring load balancer
15m         Normal   EnsuredLoadBalancer    service/some-memcached-11211     Ensured load balancer
14m         Normal   SuccessfulCreate       job/parsec-blackscholes          Created pod: parsec-blackscholes-v5cj2
14m         Normal   Scheduled              pod/parsec-freqmine-l29mg        Successfully assigned default/parsec-freqmine-l29mg to node-a-8core-t4w3
14m         Normal   Scheduled              pod/parsec-blackscholes-v5cj2    Successfully assigned default/parsec-blackscholes-v5cj2 to node-b-4core-rkqx
14m         Normal   SuccessfulCreate       job/parsec-freqmine              Created pod: parsec-freqmine-l29mg
14m         Normal   Pulling                pod/parsec-blackscholes-v5cj2    Pulling image "anakli/cca:parsec_blackscholes"
14m         Normal   Created                pod/parsec-freqmine-l29mg        Created container parsec-freqmine
14m         Normal   Started                pod/parsec-blackscholes-v5cj2    Started container parsec-blackscholes
14m         Normal   Pulled                 pod/parsec-freqmine-l29mg        Successfully pulled image "anakli/cca:parsec_freqmine" in 572ms (572ms including waiting). Image size: 159516230 bytes.
14m         Normal   Pulling                pod/parsec-freqmine-l29mg        Pulling image "anakli/cca:parsec_freqmine"
14m         Normal   Pulled                 pod/parsec-blackscholes-v5cj2    Successfully pulled image "anakli/cca:parsec_blackscholes" in 555ms (555ms including waiting). Image size: 153652038 bytes.
14m         Normal   Created                pod/parsec-blackscholes-v5cj2    Created container parsec-blackscholes
14m         Normal   Started                pod/parsec-freqmine-l29mg        Started container parsec-freqmine
14m         Normal   SuccessfulCreate       job/parsec-streamcluster         Created pod: parsec-streamcluster-9tdsf
14m         Normal   Scheduled              pod/parsec-streamcluster-9tdsf   Successfully assigned default/parsec-streamcluster-9tdsf to node-a-8core-t4w3
14m         Normal   Created                pod/parsec-streamcluster-9tdsf   Created container parsec-streamcluster
14m         Normal   Pulled                 pod/parsec-streamcluster-9tdsf   Successfully pulled image "anakli/cca:parsec_streamcluster" in 558ms (558ms including waiting). Image size: 34585790 bytes.
14m         Normal   Pulling                pod/parsec-streamcluster-9tdsf   Pulling image "anakli/cca:parsec_streamcluster"
14m         Normal   Started                pod/parsec-streamcluster-9tdsf   Started container parsec-streamcluster
12m         Normal   SuccessfulCreate       job/parsec-canneal               Created pod: parsec-canneal-cv72f
12m         Normal   Scheduled              pod/parsec-canneal-cv72f         Successfully assigned default/parsec-canneal-cv72f to node-b-4core-rkqx
12m         Normal   Completed              job/parsec-blackscholes          Job completed
12m         Normal   Pulling                pod/parsec-canneal-cv72f         Pulling image "anakli/cca:parsec_canneal"
12m         Normal   Created                pod/parsec-canneal-cv72f         Created container parsec-canneal
12m         Normal   Pulled                 pod/parsec-canneal-cv72f         Successfully pulled image "anakli/cca:parsec_canneal" in 563ms (563ms including waiting). Image size: 99173306 bytes.
12m         Normal   Started                pod/parsec-canneal-cv72f         Started container parsec-canneal
12m         Normal   SuccessfulCreate       job/parsec-barnes                Created pod: parsec-barnes-vd658
12m         Normal   Completed              job/parsec-freqmine              Job completed
12m         Normal   Pulling                pod/parsec-barnes-vd658          Pulling image "anakli/cca:splash2x_barnes"
12m         Normal   Scheduled              pod/parsec-barnes-vd658          Successfully assigned default/parsec-barnes-vd658 to node-a-8core-t4w3
12m         Normal   Started                pod/parsec-barnes-vd658          Started container parsec-barnes
12m         Normal   Created                pod/parsec-barnes-vd658          Created container parsec-barnes
