#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      226.1    86.2    93.8   148.7   160.4   217.8   244.2   259.1   269.6   281.9   296.2   319.2   381.7   634.3  3845.8  29988.8    30000  1778380581496  1778380591653
read      230.1    79.7    93.8   152.4   164.0   221.1   248.0   263.0   273.0   285.8   300.9   326.2   400.5   811.4  3161.4  30022.7    30005  1778380593166  1778380603301
read      235.9    89.4    93.8   154.8   167.2   228.0   255.0   269.8   280.2   292.2   308.0   332.2   397.4   761.9  3895.8  30080.2    30010  1778380604815  1778380614923
read      231.7    90.3    93.8   154.0   165.7   223.3   249.7   264.4   274.1   286.7   301.2   324.3   393.8   752.1  3566.0  29922.0    30015  1778380616435  1778380626537
read      228.1    81.8    93.8   151.8   163.7   219.9   245.0   259.4   269.7   282.0   296.5   320.4   393.0   683.8  3295.6  30058.1    30020  1778380628049  1778380638153
read      230.3    88.6    93.8   154.7   166.0   221.5   247.3   261.9   271.9   284.4   298.9   323.4   396.2   789.4  3193.1  29940.8    30025  1778380639666  1778380649771
read      228.6    90.8    93.8   153.5   165.0   220.5   245.5   259.6   269.6   281.5   295.9   319.5   383.8   690.1  3607.6  29907.5    30030  1778380651283  1778380661391
read      228.8    75.4    93.8   155.2   166.9   221.8   246.2   260.0   269.7   281.3   295.3   317.8   374.3   578.2  2753.6  30170.5    30035  1778380662907  1778380673009
read      226.7    77.6    93.8   152.0   163.4   218.3   243.9   258.4   268.8   280.8   295.6   319.2   382.4   613.2  3164.9  30056.8    30040  1778380674520  1778380684620
read      231.9    83.7   101.3   153.8   165.5   222.6   249.1   264.2   274.2   287.4   303.1   328.9   403.9   855.7  3180.5  30078.8    30045  1778380686134  1778380696236
read      234.3    84.1    93.8   155.3   167.7   226.7   252.7   267.3   277.1   289.7   305.3   329.7   395.8   654.2  3936.6  30029.0    30050  1778380697749  1778380707853
read      235.1    86.5    93.8   156.2   168.6   227.0   253.0   267.6   277.4   289.8   305.2   329.4   398.6   854.0  3853.6  30168.4    30055  1778380709366  1778380719466
read      236.5    98.0   101.3   156.1   168.3   227.8   254.4   269.2   279.7   292.1   308.4   334.3   408.5   726.0  3948.3  30044.1    30060  1778380720978  1778380731080
read      233.7    81.6    93.8   158.0   169.0   224.4   249.7   264.3   274.1   287.3   303.2   329.9   414.8   811.8  3205.3  30010.4    30065  1778380732592  1778380742701
read      230.6    89.1    93.8   155.3   166.5   220.8   246.0   260.4   270.4   282.8   297.4   324.3   421.1   819.9  3702.2  29971.5    30070  1778380744215  1778380754319
read      225.0    99.1    93.8   152.3   163.0   215.8   239.6   253.2   263.4   274.0   289.9   314.4   402.5   849.4  4031.5  30065.0    30075  1778380755833  1778380765939
read      230.4    89.2   101.3   154.6   165.5   221.2   247.0   261.3   271.1   283.2   297.2   321.2   405.9  1016.8  3475.7  30174.9    30080  1778380767453  1778380777559
read      228.8    89.5   101.3   154.1   165.0   219.9   245.2   259.5   269.7   281.7   296.2   320.0   401.9   719.7  3843.4  30077.8    30085  1778380779072  1778380789179
read      234.1   105.9    93.8   156.5   167.8   224.8   250.8   265.6   275.2   288.3   304.0   329.7   412.9   778.7  4087.7  30100.5    30090  1778380790693  1778380800800
read      233.3   109.9    93.8   157.5   169.0   223.1   247.3   261.1   270.9   283.0   297.3   322.0   414.3  1259.9  4351.5  30094.5    30095  1778380802313  1778380812436
